player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jordan Poole,poolejo01,2022,1532,726,.7919771257159319,-1.741743725600774,-.9497665998848416,-.5325113332896934,-2.238847573057758,-2.771358906347452,.4888034623086535,-2.01538589277615,-1.526582430467497,.4569130364413744,.4569130364413744,0,1.177912116358631,-1.167581268537057,.0103308478215742,.829101568748099
Kevin Porter Jr.,porteke02,2022,1226,574,-1.684317271255045,-.1935471665746674,-1.877864437829712,3.579384093334144,3.288590194051673,6.867974287385818,-.5673706516447183,.5697232373507494,.002352585706031,.818347263957384,.818347263957384,0,-.7027423424406904,-.7223848989830248,-1.425127241423715,1.528692697049518
Michael Porter Jr.,portemi01,2022,554,265,-4.333317026388788,3.950808155828546,-.3825088705602422,-4.224060386871915,7.960109690395843,3.736049303523928,-4.568812173274987,5.036217185700081,.4674050124250941,.4365228902789856,.4365228902789856,0,-3.297582152986422,3.763060891319894,.4654787383334722,.3498467124636719
Otto Porter Jr.,porteot01,2022,843,400,1.783133736305675,2.401423567843627,4.184557304149301,.5987978089530668,6.865166272808393,7.46396408176146,1.597964001320586,3.380829252535703,4.978793253856288,1.570822389743167,1.570822389743167,0,1.759423516135078,3.296812700211898,5.056236216346977,-.4106556756590901
Bobby Portis,portibo01,2022,1176,563,-.0786206430764204,3.571343637831291,3.492722994754871,-1.503489827516824,-.2772726735890854,-1.780762501105909,-.4136402130840969,2.94286667124429,2.529226458160193,1.50972591810022,1.50972591810022,0,-1.001229195989682,2.255721531985532,1.254492335995851,-.4418684889032056
Kristaps Porzingis,porzikr01,2022,997,486,1.029680606608576,-.6128480123222718,.4168325942863046,-1.171503160939838,.340828066376034,-.8306750945638037,.6601905041088038,-.446328894785591,.2138616093232127,.7355744326059005,.7355744326059005,0,1.69479592009644,.0920078187837347,1.786803738880175,.0904022975749265
Dwight Powell,poweldw01,2022,929,459,-1.724394679446914,.1679135395898171,-1.556481139857097,-6.8141002434983,-1.618377283785547,-8.432477527283847,-2.906611340024701,-.1905099609974275,-3.097121301022128,-.0806858307364906,-.0806858307364906,0,-3.869000498776501,-.0410373374822558,-3.910037836258756,-.7434667579537665
Norman Powell,powelno01,2022,1298,624,1.696825302430366,-2.913740231273828,-1.216914928843462,4.711978093156755,-5.390402770867021,-.6784246777102654,2.401853580610811,-3.56851141592699,-1.166657835316179,.5038316316678372,.5038316316678372,0,3.197771262825189,-3.057036047926506,.1407352148986827,-.0494104504482337
Joshua Primo,primojo01,2022,122,59,2.773104716874342,3.791327617959942,6.564432334834285,9.421728310313515,-3.226767719455112,6.194960590858404,4.385076129722563,2.550135267716504,6.935211397439067,.2888697550691849,.2888697550691849,0,3.5539292524619,2.284954209908393,5.838883462370293,-.917753758539715
Taurean Prince,princta02,2022,726,338,-3.595978103164155,-.3187234380232606,-3.914701541187416,-9.86868327802906,-2.87243488212451,-12.74111816015357,-5.132626200466341,-.8965097761065776,-6.029135976572919,-.5708062845950691,-.5708062845950691,0,-5.16041531012016,-1.034148392814635,-6.194563702934795,.9431528620169831
Payton Pritchard,pritcpa01,2022,397,188,-3.272029197545272,-4.368160543194793,-7.640189740740064,-5.001242893127956,-2.306666436417613,-7.307909329545568,-3.845153125109935,-4.218415153533466,-8.063568278643402,-.5079788931496931,-.5079788931496931,0,-4.76255136183861,-5.322039262679204,-10.08459062451781,-.3311546503942323
Immanuel Quickley,quickim01,2022,1024,504,2.602469115310691,-1.420199434723564,1.182269680587127,4.676339528335016,8.536683392291213,13.21302292062623,3.179774501142605,.5719578819992408,3.751732383141846,1.661714418243879,1.661714418243879,0,2.759064872007182,.1711838596312186,2.9302487316384,-.6075873229984828
